Similarity-based	similarity-based
hypoglycemia	hypoglycemia
manufacturer	manufacturer
product	product
symptom	symptom
warning	warning
	
death	death
diabetic	diabetic
finding	finding
report	report
study	study
	
tranquilizer	tranquilizer
campaign	campaign
law	law
medicine	medicine
prescription	prescription
print	print
publicity	publicity
sedative	sedative
	
television	television
use	use
analyst	analyst
profit	profit
state	state
	
dose	dose
appeal	appeal
death	death
impact	impact
injury	injury
liability	liability
manufacturer	manufacturer
miscarriage	miscarriage
refusing	refusing
ruling	ruling
	
diethylstilbestrol	diethylstilbestrol
hormone	hormone
damage	damage
effect	effect
female	female
prospect	prospect
state	state
	
The	the
'Narcotic'	'narcotic'
Sense	sense
	
consumer	consumer
distributor	distributor
effort	effort
cessation	cessation
consumption	consumption
country	country
reduction	reduction
requirement	requirement
	
victory	victory
battle	battle
capacity	capacity
cartel	cartel
government	government
mafia	mafia
newspaper	newspaper
people	people
	
mafia	mafia
terrorism	terrorism
censorship	censorship
dictatorship	dictatorship
newspaper	newspaper
press	press
brother	brother
nothing	nothing
aspiration	aspiration
	
assassination	assassination
editor	editor
leader	leader
politics	politics
rise	rise
action	action
country	country
doubt	doubt
freedom	freedom
	
mafioso	mafioso
medium	medium
menace	menace
solidarity	solidarity
structure	structure
trade	trade
world	world
	
terrorism	terrorism
censorship	censorship
doubt	doubt
freedom	freedom
mafia	mafia
medium	medium
menace	menace
newspaper	newspaper
	
press	press
solidarity	solidarity
structure	structure
	
murder	murder
capital-punishment	capital-punishment
symbolism	symbolism
trafficking	trafficking
furor	furor
killing	killing
substance	substance
crime	crime
	
restaurant	restaurant
law	law
bill	bill
case	case
problem	problem
	
menace	menace
terrorism	terrorism
freedom	freedom
solidarity	solidarity
structure	structure
medium	medium
press	press
censorship	censorship
country	country
doubt	doubt
	
mafia	mafia
newspaper	newspaper
way	way
attack	attack
government	government
magnitude	magnitude
people	people
relation	relation
threat	threat
	
world	world
	
trafficking	trafficking
crime	crime
capital-punishment	capital-punishment
furor	furor
killing	killing
murder	murder
restaurant	restaurant
substance	substance
symbolism	symbolism
	
dictatorship	dictatorship
aspiration	aspiration
brother	brother
editor	editor
mafia	mafia
nothing	nothing
politics	politics
press	press
	
assassination	assassination
censorship	censorship
leader	leader
newspaper	newspaper
rise	rise
terrorism	terrorism
	
assassination	assassination
brother	brother
censorship	censorship
dictatorship	dictatorship
mafia	mafia
nothing	nothing
press	press
terrorism	terrorism
	
aspiration	aspiration
editor	editor
leader	leader
newspaper	newspaper
politics	politics
rise	rise
	
laundering	laundering
army	army
lot	lot
money	money
arsenal	arsenal
baron	baron
economy	economy
explosive	explosive
government	government
hand	hand
	
material	material
military	military
none	none
opinion	opinion
portion	portion
talk	talk
	
censorship	censorship
mafia	mafia
newspaper	newspaper
press	press
terrorism	terrorism
country	country
doubt	doubt
freedom	freedom
	
medium	medium
menace	menace
solidarity	solidarity
structure	structure
	
50	50
	
98	98
	
x	x
<	<
	
96	96
	
94	94
	
92	92
	
90	90
	
88	88
	
86	86
	
84	84
	
82	82
	
80	80
	
78	78
~	~
	
!	!
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
	
Figure	figure
2	2
	
The	the
drug	drug
experiment	experiment
;	;
the	the
change	change
in	in
the	the
disambiguation	disambiguation
performance	performance
with	with
iteration	iteration
number	number
is	is
	
plotted	plotted
separately	separately
for	for
each	each
sense	sense
(	(
the	the
asterisk	asterisk
marks	marks
the	the
plot	plot
of	of
the	the
success	success
rate	rate
for	for
the	the
	
'narcotic'	'narcotic'
sense	sense
;	;
the	the
other	other
two	two
plots	plots
are	are
the	the
'medicine'	'medicine'
sense	sense
and	and
the	the
weighted	weighted
average	average
of	of
the	the
	
two	two
senses	senses
)	)
In	in
our	our
experiments	experiments
the	the
typical	typical
number	number
of	of
iterations	iterations
was	was
3	3
	
Similarity	similarity
of	of
sense1	sense1
examples	examples
to	to
sense1	sense1
feedback	feedback
set	set
	
0	0
	
~o	~o
	
~o	~o
	
O	o
	
Example	example
#	#
	
Figure	figure
3	3
	
0	0
0	0
	
Iteration	iteration
#	#
	
10	10
	
The	the
drug	drug
experiment	experiment
;	;
an	an
illustration	illustration
of	of
the	the
development	development
of	of
the	the
support	support
for	for
a	a
particular	particular
sense	sense
	
with	with
iteration	iteration
The	the
plot	plot
shows	shows
the	the
similarity	similarity
of	of
a	a
number	number
of	of
drug	drug
sentences	sentences
to	to
the	the
'narcotic'	'narcotic'
	
sense	sense
To	to
facilitate	facilitate
visualization	visualization
the	the
curves	curves
are	are
sorted	sorted
by	by
the	the
second-iteration	second-iteration
values	values
of	of
	
similarity	similarity
	
4	4
Discussion	discussion
	
We	we
now	now
discuss	discuss
in	in
some	some
detail	detail
the	the
choices	choices
made	made
at	at
the	the
different	different
stages	stages
of	of
the	the
development	development
	
of	of
the	the
present	present
method	method
and	and
its	its
relationship	relationship
to	to
some	some
of	of
the	the
previous	previous
works	works
on	on
	
word	word
sense	sense
disambiguation	disambiguation
	
51	51
	
1	1
t_	t_
	
0	0
9	9
	
0	0
8	8
	
0	0
7	7
	
0	0
6	6
	
0	0
5	5
	
0	0
4	4
	
0	0
3	3
	
0	0
2	2
	
0	0
1	1
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
i	i
i	i
i	i
i	i
i	i
i	i
i	i
t	t
	
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
	
Figure	figure
4	4
	
The	the
drug	drug
experiment	experiment
;	;
the	the
similarity	similarity
of	of
a	a
'narcotic'-sense	'narcotic'-sense
example	example
to	to
each	each
of	of
the	the
two	two
senses	senses
The	the
	
sentence	sentence
here	here
was	was
The	the
American	american
people	people
and	and
their	their
government	government
also	also
woke	woke
up	up
too	too
late	late
to	to
the	the
menace	menace
drugs	drugs
	
posed	posed
to	to
the	the
moral	moral
structure	structure
of	of
their	their
country	country
The	the
asterisk	asterisk
marks	marks
the	the
plot	plot
for	for
the	the
'narcotic'	'narcotic'
sense	sense
	
4	4
1	1
Flexible	flexible
Sense	sense
Distinctions	distinctions
	
The	the
possibility	possibility
of	of
strict	strict
definition	definition
of	of
each	each
sense	sense
of	of
a	a
polysemous	polysemous
word	word
and	and
the	the
possibility	possibility
	
of	of
unambiguous	unambiguous
assignment	assignment
of	of
a	a
given	given
sense	sense
in	in
a	a
given	given
situation	situation
are	are
in	in
themselves	themselves
	
nontrivial	nontrivial
issues	issues
in	in
philosophy	philosophy
(	(
Quine	quine
1960	1960
)	)
and	and
linguistics	linguistics
(	(
Weinreich	weinreich
1980	1980
;	;
Cruse	cruse
	
1986	1986
)	)
Different	different
dictionaries	dictionaries
often	often
disagree	disagree
on	on
the	the
definitions	definitions
;	;
the	the
split	split
into	into
senses	senses
may	may
	
also	also
depend	depend
on	on
the	the
task	task
at	at
hand	hand
Thus	thus
it	it
is	is
important	important
to	to
maintain	maintain
the	the
possibility	possibility
of	of
	
flexible	flexible
distinction	distinction
of	of
the	the
different	different
senses	senses
e	e
g	g
 by	 by
letting	letting
this	this
distinction	distinction
be	be
determined	determined
	
by	by
an	an
external	external
knowledge	knowledge
source	source
such	such
as	as
a	a
thesaurus	thesaurus
or	or
a	a
dictionary	dictionary
Although	although
this	this
	
requirement	requirement
may	may
seem	seem
trivial	trivial
most	most
corpus-based	corpus-based
methods	methods
do	do
not	not
in	in
fact	fact
allow	allow
such	such
	
flexibility	flexibility
For	for
example	example
defining	defining
the	the
senses	senses
by	by
the	the
possible	possible
translations	translations
of	of
the	the
word	word
	
(	(
Dagan	dagan
Itai	itai
and	and
Schwall	schwall
1991	1991
;	;
Brown	brown
et	et
al	al
1991	1991
;	;
Gale	gale
Church	church
and	and
Yarowsky	yarowsky
1992	1992
)	)
	
by	by
the	the
Roget's	roget's
categories	categories
(	(
Yarowsky	yarowsky
1992	1992
)	)
or	or
by	by
clustering	clustering
(	(
Schi	schi
~tze	~tze
1992	1992
)	)
yields	yields
a	a
	
grouping	grouping
that	that
does	does
not	not
always	always
conform	conform
to	to
the	the
desired	desired
sense	sense
distinctions	distinctions
	
In	in
comparison	comparison
to	to
these	these
approaches	approaches
our	our
reliance	reliance
on	on
the	the
MRD	mrd
for	for
the	the
definition	definition
of	of
	
senses	senses
in	in
the	the
initialization	initialization
of	of
the	the
learning	learning
process	process
guarantees	guarantees
the	the
required	required
flexibility	flexibility
	
in	in
setting	setting
the	the
sense	sense
distinctions	distinctions
Specifically	specifically
the	the
user	user
of	of
our	our
system	system
may	may
choose	choose
a	a
	
certain	certain
dictionary	dictionary
definition	definition
a	a
combination	combination
of	of
definitions	definitions
from	from
several	several
dictionaries	dictionaries
	
or	or
manually	manually
listed	listed
seed	seed
words	words
for	for
every	every
sense	sense
that	that
needs	needs
to	to
be	be
defined	defined
Whereas	whereas
	
pure	pure
MRD-based	mrd-based
methods	methods
allow	allow
the	the
same	same
flexibility	flexibility
their	their
potential	potential
so	so
far	far
has	has
not	not
	
been	been
fully	fully
tapped	tapped
because	because
definitions	definitions
alone	alone
do	do
not	not
contain	contain
enough	enough
information	information
for	for
	
disambiguation	disambiguation
	
4	4
2	2
Sentence	sentence
Features	features
	
Different	different
polysemous	polysemous
words	words
may	may
benefit	benefit
from	from
different	different
types	types
of	of
features	features
of	of
the	the
context	context
	
sentences	sentences
Polysemous	polysemous
words	words
for	for
which	which
distinct	distinct
senses	senses
tend	tend
to	to
appear	appear
in	in
different	different
topics	topics
	
can	can
be	be
disambiguated	disambiguated
using	using
single	single
words	words
as	as
the	the
context	context
features	features
as	as
we	we
did	did
here	here
	
Disambiguation	disambiguation
of	of
other	other
polysemous	polysemous
words	words
may	may
require	require
taking	taking
the	the
sentence	sentence
structure	structure
	
into	into
account	account
using	using
n-grams	n-grams
or	or
syntactic	syntactic
constructs	constructs
as	as
features	features
This	this
additional	additional
information	information
	
can	can
be	be
incorporated	incorporated
into	into
our	our
method	method
by	by
(	(
1	1
)	)
extracting	extracting
features	features
such	such
as	as
nouns	nouns
	
!52	!52
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
verbs	verbs
adjectives	adjectives
of	of
the	the
target	target
word	word
bigrams	bigrams
trigrams	trigrams
and	and
subject-verb	subject-verb
or	or
verb-object	verb-object
	
pairs	pairs
(	(
2	2
)	)
discarding	discarding
features	features
with	with
a	a
low	low
weight	weight
(	(
cf	cf
Section	section
A	a
3	3
of	of
the	the
appendix	appendix
)	)
and	and
	
(	(
3	3
)	)
using	using
the	the
remaining	remaining
features	features
instead	instead
of	of
single	single
words	words
(	(
i	i
e	e
 by	 by
representing	representing
a	a
sentence	sentence
	
by	by
the	the
set	set
of	of
significant	significant
features	features
it	it
contains	contains
and	and
a	a
feature	feature
by	by
the	the
set	set
of	of
sentences	sentences
	
in	in
which	which
it	it
appears	appears
)	)
	
4	4
3	3
Using	using
WordNet	wordnet
	
The	the
initialization	initialization
of	of
the	the
word	word
similarity	similarity
matrix	matrix
using	using
WordNet	wordnet
a	a
hand-crafted	hand-crafted
semantic	semantic
	
network	network
arranged	arranged
in	in
a	a
hierarchical	hierarchical
structure	structure
(	(
Miller	miller
et	et
al	al
1993	1993
)	)
may	may
seem	seem
to	to
	
be	be
advantageous	advantageous
over	over
simply	simply
setting	setting
it	it
to	to
the	the
identity	identity
matrix	matrix
as	as
we	we
have	have
done	done
To	to
	
compare	compare
these	these
two	two
approaches	approaches
we	we
tried	tried
to	to
set	set
the	the
initial	initial
(	(
dis	dis
)	)
similarity	similarity
between	between
two	two
	
words	words
to	to
the	the
WordNet	wordnet
path	path
length	length
between	between
their	their
nodes	nodes
(	(
Lee	lee
Kim	kim
and	and
Lee	lee
1993	1993
)	)
and	and
	
then	then
learn	learn
the	the
similarity	similarity
values	values
iteratively	iteratively
This	this
however	however
led	led
to	to
worse	worse
performance	performance
	
than	than
the	the
simple	simple
identity-matrix	identity-matrix
initialization	initialization
	
There	there
are	are
several	several
possible	possible
reasons	reasons
for	for
the	the
poor	poor
performance	performance
of	of
WordNet	wordnet
in	in
this	this
	
comparison	comparison
First	first
WordNet	wordnet
is	is
not	not
designed	designed
to	to
capture	capture
contextual	contextual
similarity	similarity
For	for
example	example
	
in	in
WordNet	wordnet
hospital	hospital
and	and
doctor	doctor
have	have
no	no
common	common
ancestor	ancestor
and	and
hence	hence
their	their
	
similarity	similarity
is	is
0	0
while	while
doctor	doctor
and	and
lawyer	lawyer
are	are
quite	quite
similar	similar
because	because
both	both
designate	designate
professionals	professionals
	
humans	humans
and	and
living	living
things	things
Note	note
that	that
contextually	contextually
doctor	doctor
should	should
be	be
more	more
	
similar	similar
to	to
hospital	hospital
than	than
to	to
lawyer	lawyer
Second	second
we	we
found	found
that	that
the	the
WordNet	wordnet
similarity	similarity
values	values
	
dominated	dominated
the	the
contextual	contextual
similarity	similarity
computed	computed
in	in
the	the
iterative	iterative
process	process
preventing	preventing
the	the
	
transitive	transitive
effects	effects
of	of
contextual	contextual
similarity	similarity
from	from
taking	taking
over	over
Third	third
the	the
tree	tree
distance	distance
in	in
	
itself	itself
does	does
not	not
always	always
correspond	correspond
to	to
the	the
intuitive	intuitive
notion	notion
of	of
similarity	similarity
because	because
different	different
	
concepts	concepts
appear	appear
at	at
different	different
levels	levels
of	of
abstraction	abstraction
and	and
have	have
a	a
different	different
number	number
of	of
	
nested	nested
subconcepts	subconcepts
For	for
example	example
a	a
certain	certain
distance	distance
between	between
two	two
nodes	nodes
may	may
result	result
	
from	from
(	(
1	1
)	)
the	the
nodes	nodes
being	being
semantically	semantically
close	close
but	but
separated	separated
by	by
a	a
large	large
distance	distance
stemming	stemming
	
from	from
a	a
high	high
level	level
of	of
detail	detail
in	in
the	the
related	related
synsets	synsets
or	or
from	from
(	(
2	2
)	)
the	the
nodes	nodes
being	being
	
semantically	semantically
far	far
from	from
each	each
other	other
6	6
	
4	4
4	4
Ignoring	ignoring
Irrelevant	irrelevant
Examples	examples
	
The	the
feedback	feedback
sets	sets
we	we
use	use
in	in
training	training
the	the
system	system
may	may
contain	contain
noise	noise
in	in
the	the
form	form
of	of
	
irrelevant	irrelevant
examples	examples
that	that
are	are
collected	collected
along	along
with	with
the	the
relevant	relevant
and	and
useful	useful
ones	ones
For	for
	
instance	instance
in	in
one	one
of	of
the	the
definitions	definitions
of	of
bank	bank
in	in
WordNet	wordnet
we	we
find	find
bar	bar
which	which
in	in
turn	turn
	
has	has
many	many
other	other
senses	senses
that	that
are	are
not	not
related	related
to	to
bank	bank
Although	although
these	these
unrelated	unrelated
senses	senses
	
contribute	contribute
examples	examples
to	to
the	the
feedback	feedback
set	set
our	our
system	system
is	is
hardly	hardly
affected	affected
by	by
this	this
noise	noise
	
because	because
we	we
do	do
not	not
collect	collect
statistics	statistics
on	on
the	the
feedback	feedback
sets	sets
(	(
i	i
e	e
 our	 our
method	method
is	is
not	not
based	based
	
on	on
mere	mere
co-occurrence	co-occurrence
frequencies	frequencies
as	as
most	most
other	other
corpus-based	corpus-based
methods	methods
are	are
)	)
The	the
	
relevant	relevant
examples	examples
in	in
the	the
feedback	feedback
set	set
of	of
the	the
sense	sense
si	si
will	will
attract	attract
the	the
examples	examples
of	of
si	si
;	;
	
the	the
irrelevant	irrelevant
examples	examples
will	will
not	not
attract	attract
the	the
examples	examples
of	of
si	si
but	but
neither	neither
will	will
they	they
do	do
	
damage	damage
because	because
they	they
are	are
not	not
expected	expected
to	to
attract	attract
examples	examples
of	of
sj	sj
~	~
~	~
i	i
)	)
	
4	4
5	5
Related	related
work	work
	
4	4
5	5
1	1
The	the
Knowledge	knowledge
Acquisition	acquisition
Bottleneck	bottleneck
Brown	brown
et	et
al	al
(	(
1991	1991
)	)
and	and
Gale	gale
Church	church
	
and	and
Yarowsky	yarowsky
(	(
1992	1992
)	)
used	used
the	the
translations	translations
of	of
ambiguous	ambiguous
words	words
in	in
a	a
bilingual	bilingual
corpus	corpus
	
as	as
sense	sense
tags	tags
This	this
does	does
not	not
obviate	obviate
the	the
need	need
for	for
manual	manual
work	work
as	as
producing	producing
bilingual	bilingual
	
corpora	corpora
requires	requires
manual	manual
translation	translation
work	work
Dagan	dagan
Itai	itai
and	and
Schwall	schwall
(	(
1991	1991
)	)
used	used
a	a
	
bilingual	bilingual
lexicon	lexicon
and	and
a	a
monolingual	monolingual
corpus	corpus
to	to
save	save
the	the
need	need
for	for
translating	translating
the	the
corpus	corpus
	
6	6
Resnik	resnik
(	(
1995	1995
)	)
recently	recently
suggested	suggested
that	that
this	this
particular	particular
difficulty	difficulty
can	can
be	be
overcome	overcome
by	by
a	a
different	different
measure	measure
	
that	that
takes	takes
into	into
account	account
the	the
informativeness	informativeness
of	of
the	the
most	most
specific	specific
common	common
ancestor	ancestor
of	of
the	the
two	two
words	words
	
53	53
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
The	the
problem	problem
remains	remains
however	however
that	that
the	the
word	word
translations	translations
do	do
not	not
necessarily	necessarily
overlap	overlap
	
with	with
the	the
desired	desired
sense	sense
distinctions	distinctions
	
Sch	sch
/	/
itze	itze
(	(
1992	1992
)	)
clustered	clustered
the	the
examples	examples
in	in
the	the
training	training
set	set
and	and
manually	manually
assigned	assigned
	
each	each
cluster	cluster
a	a
sense	sense
by	by
observing	observing
10-20	10-20
members	members
of	of
the	the
cluster	cluster
Each	each
sense	sense
was	was
usually	usually
	
represented	represented
by	by
several	several
clusters	clusters
Although	although
this	this
approach	approach
significantly	significantly
decreased	decreased
the	the
	
need	need
for	for
manual	manual
intervention	intervention
about	about
a	a
hundred	hundred
examples	examples
had	had
still	still
to	to
be	be
tagged	tagged
manually	manually
	
for	for
each	each
word	word
Moreover	moreover
the	the
resulting	resulting
clusters	clusters
did	did
not	not
necessarily	necessarily
correspond	correspond
	
to	to
the	the
desired	desired
sense	sense
distinctions	distinctions
	
Yarowsky	yarowsky
(	(
1992	1992
)	)
learned	learned
discriminators	discriminators
for	for
each	each
Roget's	roget's
category	category
saving	saving
the	the
need	need
	
to	to
separate	separate
the	the
training	training
set	set
into	into
senses	senses
However	however
using	using
such	such
hand-crafted	hand-crafted
categories	categories
	
usually	usually
leads	leads
to	to
a	a
coverage	coverage
problem	problem
for	for
specific	specific
domains	domains
or	or
for	for
domains	domains
other	other
than	than
	
the	the
one	one
for	for
which	which
the	the
list	list
of	of
categories	categories
has	has
been	been
prepared	prepared
	
Using	using
MRD's	mrd's
(	(
Amsler	amsler
1984	1984
)	)
for	for
word	word
sense	sense
disambiguation	disambiguation
was	was
popularized	popularized
by	by
	
Lesk	lesk
(	(
1986	1986
)	)
;	;
several	several
researchers	researchers
subsequently	subsequently
continued	continued
and	and
improved	improved
this	this
line	line
of	of
	
work	work
(	(
Krovetz	krovetz
and	and
Croft	croft
1989	1989
;	;
Guthrie	guthrie
et	et
al	al
1991	1991
;	;
V	v
~ronis	~ronis
and	and
Ide	ide
1990	1990
)	)
Unlike	unlike
the	the
	
information	information
in	in
a	a
corpus	corpus
the	the
information	information
in	in
the	the
MRD	mrd
definitions	definitions
is	is
presorted	presorted
into	into
	
senses	senses
However	however
as	as
noted	noted
above	above
the	the
MRD	mrd
definitions	definitions
alone	alone
do	do
not	not
contain	contain
enough	enough
	
information	information
to	to
allow	allow
reliable	reliable
disambiguation	disambiguation
Recently	recently
Yarowsky	yarowsky
(	(
1995	1995
)	)
combined	combined
an	an
	
MRD	mrd
and	and
a	a
corpus	corpus
in	in
a	a
bootstrapping	bootstrapping
process	process
In	in
that	that
work	work
the	the
definition	definition
words	words
	
were	were
used	used
as	as
initial	initial
sense	sense
indicators	indicators
automatically	automatically
tagging	tagging
the	the
target	target
word	word
examples	examples
	
containing	containing
them	them
These	these
tagged	tagged
examples	examples
were	were
then	then
used	used
as	as
seed	seed
examples	examples
in	in
the	the
	
bootstrapping	bootstrapping
process	process
In	in
comparison	comparison
we	we
suggest	suggest
to	to
further	further
combine	combine
the	the
corpus	corpus
and	and
	
the	the
MRD	mrd
by	by
using	using
all	all
the	the
corpus	corpus
examples	examples
of	of
the	the
MRD	mrd
definition	definition
words	words
instead	instead
of	of
	
those	those
words	words
alone	alone
This	this
yields	yields
much	much
more	more
sense-presorted	sense-presorted
training	training
information	information
	
4	4
5	5
2	2
The	the
Problem	problem
of	of
Sparse	sparse
Data	data
Most	most
previous	previous
works	works
define	define
word	word
similarity	similarity
based	based
	
on	on
co-occurrence	co-occurrence
information	information
and	and
hence	hence
face	face
a	a
severe	severe
problem	problem
of	of
sparse	sparse
data	data
Many	many
	
of	of
the	the
possible	possible
co-occurrences	co-occurrences
are	are
not	not
observed	observed
even	even
in	in
a	a
very	very
large	large
corpus	corpus
(	(
Church	church
	
and	and
Mercer	mercer
1993	1993
)	)
Our	our
algorithm	algorithm
addresses	addresses
this	this
problem	problem
in	in
two	two
ways	ways
First	first
we	we
replace	replace
	
the	the
all-or-none	all-or-none
indicator	indicator
of	of
co-occurrence	co-occurrence
by	by
a	a
graded	graded
measure	measure
of	of
contextual	contextual
similarity	similarity
	
Our	our
measure	measure
of	of
similarity	similarity
is	is
transitive	transitive
allowing	allowing
two	two
words	words
to	to
be	be
considered	considered
similar	similar
	
even	even
if	if
they	they
neither	neither
appear	appear
in	in
the	the
same	same
sentence	sentence
nor	nor
share	share
neighbor	neighbor
words	words
Second	second
	
we	we
extend	extend
the	the
training	training
set	set
by	by
adding	adding
examples	examples
of	of
related	related
words	words
The	the
performance	performance
of	of
	
our	our
system	system
compares	compares
favorably	favorably
to	to
that	that
of	of
systems	systems
trained	trained
on	on
sets	sets
larger	larger
by	by
a	a
factor	factor
	
of	of
100	100
(	(
the	the
results	results
described	described
in	in
Section	section
3	3
were	were
obtained	obtained
following	following
learning	learning
from	from
several	several
	
dozen	dozen
examples	examples
in	in
comparison	comparison
to	to
thousands	thousands
of	of
examples	examples
in	in
other	other
automatic	automatic
methods	methods
)	)
	
Traditionally	traditionally
the	the
problem	problem
of	of
sparse	sparse
data	data
is	is
approached	approached
by	by
estimating	estimating
the	the
probability	probability
	
of	of
unobserved	unobserved
co-occurrences	co-occurrences
using	using
the	the
actual	actual
co-occurrences	co-occurrences
in	in
the	the
training	training
	
set	set
This	this
can	can
be	be
done	done
by	by
smoothing	smoothing
the	the
observed	observed
frequencies	frequencies
7	7
(	(
Church	church
and	and
Mercer	mercer
	
1993	1993
)	)
or	or
by	by
class-based	class-based
methods	methods
(	(
Brown	brown
et	et
al	al
1991	1991
;	;
Pereira	pereira
and	and
Tishby	tishby
1992	1992
;	;
Pereira	pereira
	
Tishby	tishby
and	and
Lee	lee
1993	1993
;	;
Hirschman	hirschman
1986	1986
;	;
Resnik	resnik
1992	1992
;	;
Brill	brill
et	et
al	al
1990	1990
;	;
Dagan	dagan
Marcus	marcus
	
and	and
Markovitch	markovitch
1993	1993
)	)
In	in
comparison	comparison
to	to
these	these
approaches	approaches
we	we
use	use
similarity	similarity
information	information
	
throughout	throughout
training	training
and	and
not	not
merely	merely
for	for
estimating	estimating
co-occurrence	co-occurrence
statistics	statistics
This	this
	
allows	allows
the	the
system	system
to	to
learn	learn
successfully	successfully
from	from
very	very
sparse	sparse
data	data
	
7	7
Smoothing	smoothing
is	is
a	a
technique	technique
widely	widely
used	used
in	in
applications	applications
such	such
as	as
statistical	statistical
pattern	pattern
recognition	recognition
and	and
	
probabilistic	probabilistic
language	language
modeling	modeling
that	that
require	require
a	a
probability	probability
density	density
to	to
be	be
estimated	estimated
from	from
data	data
For	for
	
sparse	sparse
data	data
this	this
estimation	estimation
problem	problem
is	is
severely	severely
underconstrained	underconstrained
and	and
thus	thus
ill-posed	ill-posed
;	;
smoothing	smoothing
	
regularizes	regularizes
the	the
problem	problem
by	by
adopting	adopting
a	a
prior	prior
constraint	constraint
that	that
assumes	assumes
that	that
the	the
probability	probability
density	density
does	does
	
not	not
change	change
too	too
fast	fast
in	in
between	between
the	the
examples	examples
	
54	54
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
4	4
6	6
Summary	summary
	
We	we
have	have
described	described
an	an
approach	approach
to	to
WSD	wsd
that	that
combines	combines
a	a
corpus	corpus
and	and
an	an
MRD	mrd
to	to
generate	generate
	
an	an
extensive	extensive
data	data
set	set
for	for
learning	learning
similarity-based	similarity-based
disambiguation	disambiguation
Our	our
system	system
	
combines	combines
the	the
advantages	advantages
of	of
corpus-based	corpus-based
approaches	approaches
(	(
large	large
number	number
of	of
examples	examples
)	)
with	with
	
those	those
of	of
the	the
MRD-based	mrd-based
approaches	approaches
(	(
data	data
presorted	presorted
by	by
senses	senses
)	)
by	by
using	using
the	the
MRD	mrd
definitions	definitions
	
to	to
direct	direct
the	the
extraction	extraction
of	of
training	training
information	information
(	(
in	in
the	the
form	form
of	of
feedback	feedback
sets	sets
)	)
	
from	from
the	the
corpus	corpus
	
In	in
our	our
system	system
a	a
word	word
is	is
represented	represented
by	by
the	the
set	set
of	of
sentences	sentences
in	in
which	which
it	it
appears	appears
	
Accordingly	accordingly
words	words
are	are
considered	considered
similar	similar
if	if
they	they
appear	appear
in	in
similar	similar
sentences	sentences
and	and
sentences	sentences
	
are	are
considered	considered
similar	similar
if	if
they	they
contain	contain
similar	similar
words	words
Applying	applying
this	this
definition	definition
	
iteratively	iteratively
yields	yields
a	a
transitive	transitive
measure	measure
of	of
similarity	similarity
under	under
which	which
two	two
sentences	sentences
may	may
be	be
	
considered	considered
similar	similar
even	even
if	if
they	they
do	do
not	not
share	share
any	any
word	word
and	and
two	two
words	words
may	may
be	be
considered	considered
	
similar	similar
even	even
if	if
they	they
do	do
not	not
share	share
neighbor	neighbor
words	words
Our	our
experiments	experiments
show	show
that	that
the	the
	
resulting	resulting
alternative	alternative
to	to
raw	raw
co-occurrence-based	co-occurrence-based
similarity	similarity
leads	leads
to	to
better	better
performance	performance
	
on	on
very	very
sparse	sparse
data	data
	
Appendix	appendix
	
A	a
1	1
Stopping	stopping
Conditions	conditions
of	of
the	the
Iterative	iterative
Algorithm	algorithm
	
Let	let
fi	fi
be	be
the	the
increase	increase
in	in
the	the
similarity	similarity
value	value
in	in
iteration	iteration
i	i
:	:
	
f	f
~	~
(	(
X	x
y	y
)	)
=	=
simi	simi
(	(
X	x
y	y
)	)
-	-
simi_l	simi_l
(	(
X	x
32	32
)	)
(	(
9	9
)	)
	
where	where
X	x
y	y
can	can
be	be
either	either
words	words
or	or
sentences	sentences
For	for
each	each
item	item
X	x
the	the
algorithm	algorithm
stops	stops
	
updating	updating
its	its
similarity	similarity
values	values
to	to
other	other
items	items
(	(
that	that
is	is
updating	updating
its	its
row	row
in	in
the	the
similarity	similarity
	
matrix	matrix
)	)
in	in
the	the
first	first
iteration	iteration
that	that
satisfies	satisfies
maxyfi	maxyfi
(	(
X	x
3	3
;	;
)	)
_	_
<	<
Â	Â
¢	¢
where	where
c	c
>	>
0	0
is	is
a	a
preset	preset
	
threshold	threshold
	
According	according
to	to
this	this
stopping	stopping
condition	condition
the	the
algorithm	algorithm
terminates	terminates
after	after
at	at
most	most
	
iterations	iterations
(	(
otherwise	otherwise
in	in
!	!
iterations	iterations
with	with
eachfi	eachfi
>	>
c	c
we	we
obtain	obtain
sim	sim
(	(
V	v
3	3
;	;
)	)
>	>
Â	Â
¢-	¢-
~	~
=	=
1	1
	
in	in
contradiction	contradiction
to	to
upper	upper
bound	bound
of	of
1	1
on	on
the	the
similarity	similarity
values	values
;	;
see	see
Section	section
A	a
2	2
below	below
)	)
	
We	we
found	found
that	that
the	the
best	best
results	results
are	are
obtained	obtained
within	within
three	three
iterations	iterations
